Date,Price,lag_P,lag_O,lag_H,lag_L,lag_V,lag_C,Year,Month,Day,Weekday
2020-10-23,0.8322247561130116,0.835930571392373,0.8217388567111559,0.826795129299523,0.8432266408018105,0.22128694350916572,0.5629432624113475,0.75,0.8181818181818182,0.7333333333333333,0.6666666666666666
2020-10-26,0.8364373495502344,0.8478398581021158,0.8315600604381768,0.83991338187296,0.8566763659877141,0.24934530490086046,0.5957446808510638,0.75,0.8181818181818182,0.8333333333333334,0.0
2020-10-27,0.8374192322310909,0.829722538958571,0.8369113573407201,0.8332601054481545,0.8436146136437115,0.2134306023194912,0.4317375886524823,0.75,0.8181818181818182,0.8666666666666667,0.16666666666666666
2020-10-28,0.821550741163056,0.8322247561130116,0.8252958952404936,0.8286781320612604,0.84671839637892,0.2130564908342686,0.5443262411347518,0.75,0.8181818181818182,0.9,0.3333333333333333
2020-10-29,0.8149942987457242,0.8364373495502344,0.8216759002770082,0.8305611348229978,0.8425800193986421,0.23120089786756454,0.5531914893617021,0.75,0.8181818181818182,0.9333333333333333,0.5
2020-10-30,0.8265551754719371,0.8374192322310909,0.8315285822211029,0.830906351995983,0.8501778208858712,0.19248035914702583,0.5354609929078015,0.75,0.8181818181818182,0.9666666666666667,0.6666666666666666
2020-11-02,0.8389395667046751,0.821550741163056,0.828884411986905,0.8289605824755208,0.8353055286129971,0.25289936401047514,0.44326241134751776,0.75,0.9090909090909091,0.03333333333333333,0.0
2020-11-03,0.8540478905359179,0.8149942987457242,0.8140581717451523,0.8151832789354758,0.8293566117038473,0.2046389824167602,0.4937943262411348,0.75,0.9090909090909091,0.06666666666666668,0.16666666666666666
2020-11-04,0.8325098188268085,0.8265551754719371,0.8117287836816922,0.8208322872206879,0.831781441965729,0.045454545454545456,0.5948581560283688,0.75,0.9090909090909091,0.1,0.3333333333333333
2020-11-05,0.8664639554035223,0.8389395667046751,0.822588768572148,0.8295568666834046,0.8442289039767215,0.0065469509913954355,0.598404255319149,0.75,0.9090909090909091,0.13333333333333333,0.5
2020-11-06,0.8756176358798937,0.8540478905359179,0.8324729287333166,0.8453740898819986,0.849240219851277,0.002992891881780771,0.6125886524822695,0.75,0.9090909090909091,0.16666666666666669,0.6666666666666666
2020-11-09,0.799759280375016,0.8325098188268085,0.8433643918408462,0.8417022344966105,0.8509537665696734,0.008698092031425365,0.41312056737588654,0.75,0.9090909090909091,0.26666666666666666,0.0
2020-11-10,0.8240212846826303,0.8664639554035223,0.835180055401662,0.8612854632186793,0.8588748787584868,0.003554059109614665,0.7171985815602837,0.75,0.9090909090909091,0.3,0.16666666666666666
2020-11-11,0.8135373115418727,0.8756176358798937,0.8598904558045832,0.8741840321365804,0.8823795667636598,0.34231200897867564,0.5797872340425532,0.75,0.9090909090909091,0.3333333333333333,0.3333333333333333
